,bathrooms,bedrooms,graph_data_link,home_detail_link,home_size,home_type,last_sold_date,last_sold_price,latitude,longitude,property_size,tax_value,tax_year,year_built,zestimate_amount,zestimate_last_updated,zestimate_percentile,zestimate_valuationRange_low,zestimate_valuation_range_high,zestimate_value_change,zillow_id
2482,1.5,3,http://www.zillow.com/homedetails/14101-SE-Rupert-Dr-Milwaukie-OR-97267/48222669_zpid/#charts-and-data,http://www.zillow.com/homedetails/14101-SE-Rupert-Dr-Milwaukie-OR-97267/48222669_zpid/,1231,SingleFamily,08/21/2003,170000,45.421144,-122.640673,10887,221308.0,2015,1974,306985,03/21/2017,0,285496,328474,-271,48222669
2483,2.0,2,http://www.zillow.com/homedetails/5710-SW-Seymour-St-Portland-OR-97221/53913650_zpid/#charts-and-data,http://www.zillow.com/homedetails/5710-SW-Seymour-St-Portland-OR-97221/53913650_zpid/,1596,SingleFamily,,,45.489058,-122.736111,8400,348700.0,2015,1971,480199,03/21/2017,0,456189,518615,-1067,53913650
2484,1.5,3,http://www.zillow.com/homedetails/11847-NE-Stanton-St-Portland-OR-97220/53841676_zpid/#charts-and-data,http://www.zillow.com/homedetails/11847-NE-Stanton-St-Portland-OR-97220/53841676_zpid/,1040,SingleFamily,08/23/1995,99500,45.543158,-122.540757,7000,174900.0,2015,1956,272809,03/21/2017,0,256440,286449,2829,53841676
2485,1.5,,http://www.zillow.com/homedetails/1406-SE-Nehalem-St-Portland-OR-97202/80934226_zpid/#charts-and-data,http://www.zillow.com/homedetails/1406-SE-Nehalem-St-Portland-OR-97202/80934226_zpid/,1806,SingleFamily,09/17/2010,312000,45.465534,-122.651817,5500,550150.0,2015,1916,689927,03/21/2017,0,627834,745121,749,80934226
2486,1.0,3,http://www.zillow.com/homedetails/3134-SE-111th-Ave-Portland-OR-97266/53945563_zpid/#charts-and-data,http://www.zillow.com/homedetails/3134-SE-111th-Ave-Portland-OR-97266/53945563_zpid/,1200,SingleFamily,01/11/2013,137000,45.499147,-122.548926,8276,186590.0,2015,1944,272094,03/21/2017,0,253047,291141,4625,53945563
2487,2.0,2,http://www.zillow.com/homedetails/6555-SW-Parkhill-Dr-Portland-OR-97239/53926528_zpid/#charts-and-data,http://www.zillow.com/homedetails/6555-SW-Parkhill-Dr-Portland-OR-97239/53926528_zpid/,1124,SingleFamily,,,45.475964,-122.682222,5500,434150.0,2015,1964,521265,03/21/2017,0,484776,562966,2026,53926528
2488,2.0,4,http://www.zillow.com/homedetails/5933-SW-Hood-Ave-Portland-OR-97239/53958179_zpid/#charts-and-data,http://www.zillow.com/homedetails/5933-SW-Hood-Ave-Portland-OR-97239/53958179_zpid/,1719,SingleFamily,05/15/2012,314000,45.480614,-122.675141,4000,333840.0,2015,1888,496137,03/21/2017,0,456446,545751,4797,53958179
2489,1.0,3,http://www.zillow.com/homedetails/3129-SE-22nd-Ave-Portland-OR-97202/53915440_zpid/#charts-and-data,http://www.zillow.com/homedetails/3129-SE-22nd-Ave-Portland-OR-97202/53915440_zpid/,1600,SingleFamily,01/01/1990,31150,45.500176,-122.643934,4000,397310.0,2015,1910,526873,03/21/2017,0,500529,558485,1103,53915440
2490,1.0,3,http://www.zillow.com/homedetails/20195-SW-Veta-St-Aloha-OR-97003/48527596_zpid/#charts-and-data,http://www.zillow.com/homedetails/20195-SW-Veta-St-Aloha-OR-97003/48527596_zpid/,1080,SingleFamily,02/24/2017,266000,45.510393,-122.884815,11325,218730.0,2015,1980,287213,03/21/2017,0,272852,301574,824,48527596
2491,1.0,2,http://www.zillow.com/homedetails/3441-SE-111th-Ave-Portland-OR-97266/80934173_zpid/#charts-and-data,http://www.zillow.com/homedetails/3441-SE-111th-Ave-Portland-OR-97266/80934173_zpid/,400,Mobile,04/24/2006,676000,45.497544,-122.549918,280,1155430.0,2007,1964,537008,03/21/2017,0,397386,708851,-398,80934173
2492,2.0,3,http://www.zillow.com/homedetails/2721-17th-Ave-Forest-Grove-OR-97116/48601792_zpid/#charts-and-data,http://www.zillow.com/homedetails/2721-17th-Ave-Forest-Grove-OR-97116/48601792_zpid/,1151,SingleFamily,,,45.515975,-123.098423,7112,186910.0,2015,1956,268847,03/21/2017,0,255405,284978,3424,48601792
2493,1.0,2,http://www.zillow.com/homedetails/6329-NE-Sandy-Blvd-Portland-OR-97213/53823110_zpid/#charts-and-data,http://www.zillow.com/homedetails/6329-NE-Sandy-Blvd-Portland-OR-97213/53823110_zpid/,1665,SingleFamily,07/16/1999,187000,45.545032,-122.597989,4000,393410.0,2015,1921,532210,03/21/2017,0,505600,564143,60,53823110
2494,2.0,3,,http://www.zillow.com/homedetails/6935-N-Maryland-Ave-Portland-OR-97217/2111656230_zpid/,1100,Townhouse,,,45.57329,-122.68103,,,,2000,332197,03/21/2017,0,295655,362095,4549,2111656230
2495,1.0,2,http://www.zillow.com/homedetails/6133-SW-Corbett-Ave-Portland-OR-97239/53958267_zpid/#charts-and-data,http://www.zillow.com/homedetails/6133-SW-Corbett-Ave-Portland-OR-97239/53958267_zpid/,1530,SingleFamily,04/25/2013,420000,45.4793,-122.677186,4000,391740.0,2015,1912,601290,03/21/2017,0,529135,667432,3315,53958267
2496,2.0,3,http://www.zillow.com/homedetails/31836-NW-Wascoe-St-North-Plains-OR-97133/48622329_zpid/#charts-and-data,http://www.zillow.com/homedetails/31836-NW-Wascoe-St-North-Plains-OR-97133/48622329_zpid/,1200,SingleFamily,03/04/2016,260000,45.59966,-123.004549,4745,191760.0,2015,1996,280033,03/21/2017,0,266031,294035,-1473,48622329
2497,2.5,2,,http://www.zillow.com/homedetails/17809-NE-Marine-Dr-SLIP-B7-Portland-OR-97230/2114525346_zpid/,1850,MultiFamily2To4,,,45.559464,-122.48175,,,,2002,374853,03/21/2017,0,352362,397344,6301,2114525346
2498,3.0,5,http://www.zillow.com/homedetails/4350-SW-202nd-Ave-Beaverton-OR-97078/48597956_zpid/#charts-and-data,http://www.zillow.com/homedetails/4350-SW-202nd-Ave-Beaverton-OR-97078/48597956_zpid/,1850,SingleFamily,02/10/2006,235000,45.488233,-122.885023,13471,263060.0,2015,1964,363447,03/21/2017,0,345275,381619,5067,48597956
2499,1.0,3,http://www.zillow.com/homedetails/5227-NE-18th-Ave-Portland-OR-97211/53976398_zpid/#charts-and-data,http://www.zillow.com/homedetails/5227-NE-18th-Ave-Portland-OR-97211/53976398_zpid/,1874,SingleFamily,03/14/2002,160000,45.560745,-122.647067,5000,427150.0,2015,1908,602717,03/21/2017,0,566554,638880,-4432,53976398
2500,2.0,4,http://www.zillow.com/homedetails/3430-SE-Stephens-St-Portland-OR-97214/53945206_zpid/#charts-and-data,http://www.zillow.com/homedetails/3430-SE-Stephens-St-Portland-OR-97214/53945206_zpid/,1400,SingleFamily,06/01/2010,575000,45.509307,-122.628838,4400,475120.0,2015,1907,589893,03/21/2017,0,548600,666579,12727,53945206
2501,2.0,3,http://www.zillow.com/homedetails/6695-SW-Griffin-Dr-Portland-OR-97223/48584444_zpid/#charts-and-data,http://www.zillow.com/homedetails/6695-SW-Griffin-Dr-Portland-OR-97223/48584444_zpid/,1617,SingleFamily,08/12/2015,390000,45.473714,-122.746024,13068,417900.0,2015,1958,490110,03/21/2017,0,460703,544022,2117,48584444
2502,2.5,3,http://www.zillow.com/homedetails/11267-SW-Chantilly-Wilsonville-OR-97070/48272106_zpid/#charts-and-data,http://www.zillow.com/homedetails/11267-SW-Chantilly-Wilsonville-OR-97070/48272106_zpid/,1523,SingleFamily,05/20/1996,149000,45.297846,-122.793802,10994,253141.0,2015,1985,343158,03/21/2017,0,322569,363747,3641,48272106
2503,1.0,1,,http://www.zillow.com/homedetails/900-NW-Lovejoy-St-APT-512-Portland-OR-97209/2115900254_zpid/,692,Apartment,,,45.53003,-122.68085,,,,,,12/31/1969,0,,,,2115900254
2504,2.0,3,http://www.zillow.com/homedetails/10438-SE-23rd-Ave-Milwaukie-OR-97222/48209916_zpid/#charts-and-data,http://www.zillow.com/homedetails/10438-SE-23rd-Ave-Milwaukie-OR-97222/48209916_zpid/,2233,SingleFamily,12/23/2014,370000,45.447505,-122.638885,7900,235979.0,2015,1915,362261,03/21/2017,0,333280,402110,1452,48209916
2505,3.0,5,http://www.zillow.com/homedetails/6736-SE-156th-Ave-Portland-OR-97236/54009717_zpid/#charts-and-data,http://www.zillow.com/homedetails/6736-SE-156th-Ave-Portland-OR-97236/54009717_zpid/,3318,SingleFamily,07/03/2014,369900,45.473479,-122.502051,6098,357430.0,2015,2004,464452,03/21/2017,0,441229,487675,2089,54009717
2506,2.0,2,http://www.zillow.com/homedetails/2221-SW-1st-Ave-APT-1923-Portland-OR-97201/53815428_zpid/#charts-and-data,http://www.zillow.com/homedetails/2221-SW-1st-Ave-APT-1923-Portland-OR-97201/53815428_zpid/,1332,Condominium,08/04/2015,459000,45.506858,-122.679115,41382,20460.0,2015,1973,,12/31/1969,0,,,,53815428
2507,3.0,4,http://www.zillow.com/homedetails/6085-NW-Sickle-Ter-Portland-OR-97229/48578111_zpid/#charts-and-data,http://www.zillow.com/homedetails/6085-NW-Sickle-Ter-Portland-OR-97229/48578111_zpid/,2927,SingleFamily,05/12/2006,474900,45.563893,-122.845474,8276,511880.0,2015,1998,596415,03/21/2017,0,566594,626236,511,48578111
2508,2.0,2,,http://www.zillow.com/homedetails/5033-Foothills-Rd-5017C-Lake-Oswego-OR-97034/2095154930_zpid/,1289,MultiFamily5Plus,,,45.416139,-122.658584,,,,1989,,12/31/1969,0,,,,2095154930
2509,2.5,2,http://www.zillow.com/homedetails/1631-SW-Montgomery-St-Portland-OR-97201/53891897_zpid/#charts-and-data,http://www.zillow.com/homedetails/1631-SW-Montgomery-St-Portland-OR-97201/53891897_zpid/,1494,SingleFamily,08/02/2001,280000,45.514816,-122.693158,1600,443480.0,2015,1996,555367,03/21/2017,0,510938,622011,-4286,53891897
2510,1.0,3,http://www.zillow.com/homedetails/3330-SE-66th-Ave-Portland-OR-97206/53897688_zpid/#charts-and-data,http://www.zillow.com/homedetails/3330-SE-66th-Ave-Portland-OR-97206/53897688_zpid/,1502,SingleFamily,,,45.498337,-122.595341,4950,316450.0,2015,1927,444502,03/21/2017,0,422277,466727,641,53897688
2511,1.5,2,http://www.zillow.com/homedetails/11609-NE-Everett-St-Portland-OR-97220/53911041_zpid/#charts-and-data,http://www.zillow.com/homedetails/11609-NE-Everett-St-Portland-OR-97220/53911041_zpid/,1188,SingleFamily,08/01/1986,53000,45.524828,-122.543683,7503,207160.0,2015,1957,289417,03/21/2017,0,274946,303888,4783,53911041
2512,2.5,3,http://www.zillow.com/homedetails/4669-SE-Davis-Rd-Hillsboro-OR-97123/69161765_zpid/#charts-and-data,http://www.zillow.com/homedetails/4669-SE-Davis-Rd-Hillsboro-OR-97123/69161765_zpid/,1755,SingleFamily,11/25/2015,266325,45.494281,-122.934383,3485,237740.0,2015,2005,320004,03/21/2017,0,297604,336004,2415,69161765
2513,2.0,2,http://www.zillow.com/homedetails/336-SE-50th-Ave-C2-Portland-OR-97215/53897365_zpid/#charts-and-data,http://www.zillow.com/homedetails/336-SE-50th-Ave-C2-Portland-OR-97215/53897365_zpid/,1140,Condominium,08/03/2005,145000,45.520376,-122.61196,3049,216910.0,2015,1973,346489,03/21/2017,0,308375,405392,1789,53897365
2514,1.0,3,http://www.zillow.com/homedetails/8926-SE-Regents-Dr-Milwaukie-OR-97222/48214663_zpid/#charts-and-data,http://www.zillow.com/homedetails/8926-SE-Regents-Dr-Milwaukie-OR-97222/48214663_zpid/,864,SingleFamily,01/09/2015,220000,45.457305,-122.612727,6969,195262.0,2015,1966,287310,03/21/2017,0,247087,307422,496,48214663
2515,3.0,3,http://www.zillow.com/homedetails/11040-SE-Madison-Dr-Portland-OR-97216/53975541_zpid/#charts-and-data,http://www.zillow.com/homedetails/11040-SE-Madison-Dr-Portland-OR-97216/53975541_zpid/,3040,SingleFamily,08/08/2012,250000,45.512155,-122.550052,8712,309710.0,2015,1960,436742,03/21/2017,0,414905,458579,7994,53975541
2516,2.0,2,http://www.zillow.com/homedetails/1624-N-Dekum-St-Portland-OR-97217/53985458_zpid/#charts-and-data,http://www.zillow.com/homedetails/1624-N-Dekum-St-Portland-OR-97217/53985458_zpid/,1168,SingleFamily,02/05/2014,300000,45.571517,-122.683853,3750,273180.0,2015,1929,402353,03/21/2017,0,370165,430518,7278,53985458
2517,3.0,3,http://www.zillow.com/homedetails/1931-SW-25th-St-Gresham-OR-97080/53908664_zpid/#charts-and-data,http://www.zillow.com/homedetails/1931-SW-25th-St-Gresham-OR-97080/53908664_zpid/,1435,SingleFamily,,,45.478832,-122.451936,8140,265580.0,2015,1979,325444,03/21/2017,0,309172,341716,1810,53908664
2518,3.5,4,http://www.zillow.com/homedetails/10771-NW-Jordan-Ln-Portland-OR-97229/89194237_zpid/#charts-and-data,http://www.zillow.com/homedetails/10771-NW-Jordan-Ln-Portland-OR-97229/89194237_zpid/,3816,SingleFamily,03/31/2011,568000,45.529357,-122.787719,6098,630740.0,2015,2008,860447,03/21/2017,0,817425,903469,5021,89194237
2519,2.0,3,http://www.zillow.com/homedetails/16180-SW-Hart-Rd-Beaverton-OR-97007/48533219_zpid/#charts-and-data,http://www.zillow.com/homedetails/16180-SW-Hart-Rd-Beaverton-OR-97007/48533219_zpid/,1474,SingleFamily,03/25/1997,158500,45.465452,-122.843168,8276,326730.0,2015,1956,380122,03/21/2017,0,361116,421935,-128,48533219
2520,2.0,3,http://www.zillow.com/homedetails/397-S-19th-Pl-Cornelius-OR-97113/48600431_zpid/#charts-and-data,http://www.zillow.com/homedetails/397-S-19th-Pl-Cornelius-OR-97113/48600431_zpid/,1326,SingleFamily,10/26/1989,60000,45.51677,-123.048265,7841,191500.0,2015,1979,287098,03/21/2017,0,272743,301453,2512,48600431
2521,2.0,3,http://www.zillow.com/homedetails/7185-SW-La-View-Dr-Portland-OR-97219/53845849_zpid/#charts-and-data,http://www.zillow.com/homedetails/7185-SW-La-View-Dr-Portland-OR-97219/53845849_zpid/,1496,SingleFamily,03/22/1994,180000,45.472314,-122.67569,,488700.0,2015,1924,549946,03/21/2017,0,516949,582943,-6449,53845849
2522,3.0,4,http://www.zillow.com/homedetails/1021-SW-Stephenson-St-Portland-OR-97219/53872774_zpid/#charts-and-data,http://www.zillow.com/homedetails/1021-SW-Stephenson-St-Portland-OR-97219/53872774_zpid/,2988,SingleFamily,04/01/1999,190815,45.440372,-122.689122,31360,483130.0,2015,1949,675035,03/21/2017,0,594031,715537,11760,53872774
2523,1.0,1,,http://www.zillow.com/homedetails/50-Northshore-Rd-APT-1-Lake-Oswego-OR-97034/2099003016_zpid/,660,MultiFamily2To4,,,45.41495,-122.6642,,,,1951,262567,03/21/2017,0,236310,280947,1600,2099003016
2524,2.0,3,http://www.zillow.com/homedetails/20228-Timbersky-Way-Oregon-City-OR-97045/48276924_zpid/#charts-and-data,http://www.zillow.com/homedetails/20228-Timbersky-Way-Oregon-City-OR-97045/48276924_zpid/,1080,SingleFamily,05/13/2010,215000,45.312773,-122.550679,7723,220643.0,2015,1987,296435,03/21/2017,0,281613,311257,424,48276924
2525,1.0,2,http://www.zillow.com/homedetails/1826-SE-45th-Ave-Portland-OR-97215/53861753_zpid/#charts-and-data,http://www.zillow.com/homedetails/1826-SE-45th-Ave-Portland-OR-97215/53861753_zpid/,944,SingleFamily,,,45.509776,-122.615842,3800,328190.0,2015,1910,471406,03/21/2017,0,433694,513833,35,53861753
2526,1.0,3,http://www.zillow.com/homedetails/3405-SE-21st-Ave-Portland-OR-97202/53956494_zpid/#charts-and-data,http://www.zillow.com/homedetails/3405-SE-21st-Ave-Portland-OR-97202/53956494_zpid/,1204,SingleFamily,,,45.49797,-122.644965,5000,242380.0,2015,1880,427519,03/21/2017,0,380492,461721,467,53956494
2527,2.0,3,http://www.zillow.com/homedetails/805-NE-Arrington-Rd-Hillsboro-OR-97124/66900088_zpid/#charts-and-data,http://www.zillow.com/homedetails/805-NE-Arrington-Rd-Hillsboro-OR-97124/66900088_zpid/,1245,SingleFamily,03/23/2006,230000,45.532963,-122.97754,13745,252320.0,2015,1958,322265,03/21/2017,0,306152,341601,1375,66900088
2528,3.0,4,http://www.zillow.com/homedetails/42070-NW-Broadshire-Ln-Banks-OR-97106/48577447_zpid/#charts-and-data,http://www.zillow.com/homedetails/42070-NW-Broadshire-Ln-Banks-OR-97106/48577447_zpid/,2312,SingleFamily,10/21/1997,169000,45.609128,-123.110657,5663,275130.0,2015,1997,371361,03/21/2017,0,352793,389929,905,48577447
2529,2.0,4,http://www.zillow.com/homedetails/3128-SE-Barnes-Rd-Gresham-OR-97080/64939717_zpid/#charts-and-data,http://www.zillow.com/homedetails/3128-SE-Barnes-Rd-Gresham-OR-97080/64939717_zpid/,1937,SingleFamily,06/09/2004,243950,45.474267,-122.392849,7519,263310.0,2015,2005,338022,03/21/2017,0,321121,354923,2723,64939717
2530,,,http://www.zillow.com/homedetails/22827-S-Day-Hill-Rd-Estacada-OR-97023/48281703_zpid/#charts-and-data,http://www.zillow.com/homedetails/22827-S-Day-Hill-Rd-Estacada-OR-97023/48281703_zpid/,,SingleFamily,09/01/1994,15000,45.27598,-122.337622,5663,64978.0,2015,,,12/31/1969,0,,,,48281703
2531,2.0,3,http://www.zillow.com/homedetails/2325-NE-Morlan-Ave-Gresham-OR-97030/53957143_zpid/#charts-and-data,http://www.zillow.com/homedetails/2325-NE-Morlan-Ave-Gresham-OR-97030/53957143_zpid/,1305,SingleFamily,03/05/2015,236500,45.513318,-122.420062,12196,210490.0,2015,1977,279872,03/21/2017,0,263080,293866,21,53957143
2532,1.0,3,http://www.zillow.com/homedetails/2035-SE-Ellis-St-Portland-OR-97202/53866117_zpid/#charts-and-data,http://www.zillow.com/homedetails/2035-SE-Ellis-St-Portland-OR-97202/53866117_zpid/,1080,SingleFamily,03/14/2003,172000,45.482582,-122.644645,5600,331990.0,2015,1924,425709,03/21/2017,0,395909,455509,3561,53866117
2533,2.5,4,http://www.zillow.com/homedetails/23415-SW-Pine-St-Sherwood-OR-97140/48571598_zpid/#charts-and-data,http://www.zillow.com/homedetails/23415-SW-Pine-St-Sherwood-OR-97140/48571598_zpid/,1578,SingleFamily,01/04/2017,4000,45.350442,-122.836539,5227,290890.0,2015,1996,352419,03/21/2017,0,327750,370040,1124,48571598
2534,1.0,0,,http://www.zillow.com/homedetails/19956-NE-Halsey-St-APT-102-Portland-OR-97230/2103746785_zpid/,600,MultiFamily5Plus,,,45.533288,-122.45755,,,,1962,,12/31/1969,0,,,,2103746785
2535,3.0,3,http://www.zillow.com/homedetails/3579-NW-Paisley-Ct-Beaverton-OR-97006/48537892_zpid/#charts-and-data,http://www.zillow.com/homedetails/3579-NW-Paisley-Ct-Beaverton-OR-97006/48537892_zpid/,1800,SingleFamily,01/14/2011,285000,45.545012,-122.850623,8712,265570.0,2011,1985,467360,03/21/2017,0,443992,490728,34460,48537892
2536,3.0,6,http://www.zillow.com/homedetails/3540-SW-Eastwood-Pl-Gresham-OR-97080/53891817_zpid/#charts-and-data,http://www.zillow.com/homedetails/3540-SW-Eastwood-Pl-Gresham-OR-97080/53891817_zpid/,2518,SingleFamily,10/30/2015,375000,45.471317,-122.461844,12102,301020.0,2015,1982,396001,03/21/2017,0,376201,415801,1637,53891817
2537,1.0,2,http://www.zillow.com/homedetails/1814-SE-Sherrett-St-Portland-OR-97202/53953351_zpid/#charts-and-data,http://www.zillow.com/homedetails/1814-SE-Sherrett-St-Portland-OR-97202/53953351_zpid/,896,SingleFamily,,,45.461252,-122.645664,5000,277060.0,2015,1906,410718,03/21/2017,0,353217,447683,1356,53953351
2538,2.5,,http://www.zillow.com/homedetails/2146-NE-Multnomah-St-2146-Portland-OR-97232/62966459_zpid/#charts-and-data,http://www.zillow.com/homedetails/2146-NE-Multnomah-St-2146-Portland-OR-97232/62966459_zpid/,1514,Condominium,02/01/2004,214000,45.53082,-122.643606,,251950.0,2015,2004,412393,03/21/2017,0,358782,453632,3124,62966459
2539,1.5,4,http://www.zillow.com/homedetails/4536-SE-Gladstone-St-Portland-OR-97206/53889426_zpid/#charts-and-data,http://www.zillow.com/homedetails/4536-SE-Gladstone-St-Portland-OR-97206/53889426_zpid/,2231,SingleFamily,08/11/2010,337250,45.493291,-122.615129,7405,412110.0,2015,1906,562060,03/21/2017,0,522716,595784,9539,53889426
2540,1.0,3,http://www.zillow.com/homedetails/1835-N-Davis-St-Cornelius-OR-97113/48623660_zpid/#charts-and-data,http://www.zillow.com/homedetails/1835-N-Davis-St-Cornelius-OR-97113/48623660_zpid/,1236,SingleFamily,11/14/2005,208900,45.52319,-123.049874,9148,166250.0,2015,1950,253981,03/21/2017,0,241282,271760,1674,48623660
2541,2.0,2,http://www.zillow.com/homedetails/726-NW-11th-Ave-APT-510-Portland-OR-97209/54010113_zpid/#charts-and-data,http://www.zillow.com/homedetails/726-NW-11th-Ave-APT-510-Portland-OR-97209/54010113_zpid/,1275,Condominium,10/17/2005,549000,45.528161,-122.682029,,576040.0,2015,2000,708762,03/21/2017,0,616623,765463,-11039,54010113
